row_key_hash,group_alias,partition,split_contract_version
000773aeb4a354f73be6504899504cbca4d3f8de92ff8a14843c9898557770ac,ef46afc2db406154,validation,1.0
0008cf4bc56cafd69dc8d59fbddc24ebf6220da3bc4c685242bec3f784ed0a5e,1568b3d35c3585ad,test,1.0
0009ff0c3c2c51c727933cac10078a612a675e8d929ebfecf5df72abffb432d8,219b56b648b107cc,train,1.0
000b4d226a398e15c172fef5e73fefa7595623c4e2923661478dd56dda766b8b,bc389c2007f09dc0,test,1.0
000d4479c3915fd5fd39c242f4622079ade15748519f50708b26f563846c368c,ef46afc2db406154,validation,1.0
0011cbd8467deb6b4a607283b1a791740357a39650567260869106ad1da062e8,ef46afc2db406154,validation,1.0
0012f06b0a9095261316319a4ce0f4e5e80595493f1bf25323101eeffc275bb2,a675422e0fbc360c,train,1.0
0014551b51bd40ae079740fe2e83399d170e5fdd9ea2367f8bd29a3680c77efd,ef46afc2db406154,validation,1.0
00177c50747928e9615d425a3fee0cb622915362c2d2ec03b2e96d6ecb937c86,a675422e0fbc360c,train,1.0
0018359f6322212f552151963123901bbd727ab10ceab421b79413be72d0c392,94e7bf069bb5d575,validation,1.0
00198d0584e8dc135997d4544959cd8dfb9ae4040d00aa531a183df0bb24aa9a,474bfa3229300c6b,test,1.0
001c433f6b6a8f2eb2a1a0e3690a11e8d1d04565436db8f6b87f42e4ac8de4bc,ef46afc2db406154,validation,1.0
001c7c1a470e8552cf04dc104244511429d2c230f7a2dcd9cc5d47fa06ce619f,a675422e0fbc360c,train,1.0
001f6ce2bde2091129b8558c814402b15c1b003caff2977eca4710d4e14e5dd2,a675422e0fbc360c,train,1.0
00202ecb373fffaba7a1a51f58fe1f9091eb8b9aa4f2af16f808518e82477c0f,ef46afc2db406154,validation,1.0
002633fc69dd352bdad6d8dd604b38e415e015e460910686eb9700e82a92f984,a675422e0fbc360c,train,1.0
0026ae406cb8b2c580b439b32529599a67548d409d5b1b48d7a4ee22ad9a94e3,219b56b648b107cc,train,1.0
0026eb72a919989b17934eebe0f332a10d5e6ed7761c9b86f34b9c23de334440,bc389c2007f09dc0,test,1.0
0029ef9eb045ade766074e61ca220b4931dda91ffd71e8017cd24c67830c0184,085e85ee5bb604b3,train,1.0
002a86caf9aadafa66f75f4d1c6bad6e331b3a2b2ce093972528dbfaf9799d68,0d54a6b12466fc10,train,1.0
002b4b8dd27a8ffe2981cdab60f3caff3149502859f02c4af8f9d8b3047a0be0,a675422e0fbc360c,train,1.0
002c8e4f78e0b95ddadaa1cab6026ecb7c7b857b8f277aa202be82591ef36508,bd11549473548298,train,1.0
0030875b1e1cbc9c08d03837e53b5e19bea60facbf2715b9b133b965d51ea790,a675422e0fbc360c,train,1.0
0032cfa06ad01ee40ab5aaeee963ce465e5714ab674e270f73e91355a91a1339,aaac3567ad8f7ffd,validation,1.0
00332f76d1e742996d03dff2f097055eb0b99514447804b466e18ef564e94341,5a86e802f81b16e8,validation,1.0
003521aa64d0c9c6769515d580e16da6535e47da506047a86debd72f163bbd5d,a675422e0fbc360c,train,1.0
0039569c7496753aed33998b1c60c587a1836d68e652e4f6ef630cf4c1ce7128,a675422e0fbc360c,train,1.0
003b609ae4d8147672a18245b70e57d1be2acb231c4644dcfc7f6350b567f583,1568b3d35c3585ad,test,1.0
003c48dc28243dcd510ca3fea9024faaa07eb27c0fbe2b6e8c3451e4c7cf477b,0d54a6b12466fc10,train,1.0
003c70e021f44d74589c1743451a3afc766ee5613a0a9dbe913db69f9cefae30,a675422e0fbc360c,train,1.0
003e9ea5e45f59d6371f2073d0d87994f61f28a1ceed4fa1742070f66a45437f,9ed2137859ad231e,train,1.0
003ecb34b99a84153acb7c1b82213d25682c6ae8e3b5ad80efa9133410932fbc,bc389c2007f09dc0,test,1.0
00408534220aa7719396f0447cbe6c312062b5d73016a5ca2a8580a8c992ef0a,085e85ee5bb604b3,train,1.0
004693c088c290ec8f0c173084841bb908130617d6767757fef937a8606dac11,5a86e802f81b16e8,validation,1.0
004b0cc6e919c816c41ce6d71aff08f2370e1a322bc0f5d9535faa507069a7e5,219b56b648b107cc,train,1.0
004deed142fcf0233efcdbc4bc688ec3d4a38d44e6c6b1f6318d822ef6265f76,4667b55bf8a53e87,test,1.0
004f4448f6a8f250ab8760d984a802dcad9c5656b21d1100f0c98d97533e6d0a,ef46afc2db406154,validation,1.0
0052bfbaf018dd310db23bf5c8836402822a0413c2c04efb6ae1685ce0cf7367,a675422e0fbc360c,train,1.0
0055e2e4dc78708f2619868004ded823a9dbaa2e6cd4dad2837b17bf690036b5,a675422e0fbc360c,train,1.0
005647c44db3e2454ff13b2fe2e368d47f4a38138877f7907a323c29d94fa11c,75088aa41573e523,train,1.0
